,id,col,size,entry_idx,entry_price,entry_fees,exit_idx,exit_price,exit_fees,pnl,return,direction,status,parent_id
0,0,0,0.002928206239421855,4,34150.6,0.0,6,34228.6,0.0,0.22840008667490963,0.002284000866749096,0,1,0
1,1,0,0.0029298967982459194,7,34208.85,0.0,48,34284.4,0.0,0.22135370310749636,0.002208492831533532,0,1,1
2,2,0,0.002943996629263088,81,34120.2,0.0,83,33992.15,0.0,-0.3769787683771284,-0.0037529088340630063,0,1,2
3,3,0,0.0029239543149235368,97,34225.15,0.0,105,34081.55,0.0,-0.41987983962302167,-0.0041957449419506,0,1,3
4,4,0,0.0029140616623202823,114,34197.25,0.0,130,34315.45,0.0,0.3444420884862467,0.0034564182792474933,0,1,4
5,5,0,0.0029166455137229932,140,34285.05,0.0,143,34168.0,0.0,-0.3413933573812784,-0.0034140244800576545,0,1,5
6,6,0,0.002872322404735151,173,34695.25,0.0,183,34685.15,0.0,-0.029010456287821285,-0.00029110613124271186,0,1,6
7,7,0,0.002869311233415542,188,34721.55,0.0,196,34704.8,0.0,-0.04806096315971331,-0.00048240933944484153,0,1,7
8,8,0,0.002862436562261566,201,34788.15,0.0,212,34753.85,0.0,-0.09818157408557227,-0.000985967922985275,0,1,8
9,9,0,0.002852746507054509,222,34871.9,0.0,231,35258.9,0.0,1.1040128982300956,0.01109776066116272,0,1,9
10,10,0,0.0028528800124111844,310,35257.25,0.0,314,35296.1,0.0,0.11083438848217497,0.00110190102744826,0,1,10
11,11,0,0.0028539149741114464,315,35283.3,0.0,342,35303.85,0.0,0.05864795271797618,0.0005824285143395056,0,1,11
12,12,0,0.002853838179476569,343,35304.8,0.0,349,35289.15,0.0,-0.04466256750880859,-0.0004432824998300543,0,1,12
13,13,0,0.002852750890622095,351,35302.6,0.0,365,35322.5,0.0,0.056769742723375316,0.0005636978579480964,0,1,13
14,14,0,0.0028441875289206098,368,35428.85,0.0,383,35442.2,0.0,0.0379699035110832,0.00037681155329618546,0,1,14
15,15,0,0.0028508154242249677,446,35359.8,0.0,448,35368.95,0.0,0.02608496113164449,0.000258768431948006,0,1,15
16,16,0,0.0028860950464166995,715,34936.6,0.0,771,35218.95,0.0,0.8148889363557572,0.008081782428742372,0,1,16
17,17,0,0.0028722999294960006,779,35388.1,0.0,803,35487.3,0.0,0.28493215300601094,0.0028032022063914897,0,1,17
18,18,0,0.002865984431204494,807,35565.5,0.0,814,35521.5,0.0,-0.12610331497299399,-0.0012371539834952045,0,1,18
19,19,0,0.0028498105140099947,835,35723.1,0.0,847,36061.3,0.0,0.9638059158381935,0.009467263479373423,0,1,19
20,20,0,0.002843423686065043,868,36142.3,0.0,870,36178.35,0.0,0.10250542388263284,0.0009974462056923823,0,1,20
21,21,0,0.0028452325122769176,871,36155.35,0.0,880,36115.45,0.0,-0.11352477723984578,-0.0011035711174141273,0,1,21
22,22,0,0.0028440237286611806,888,36130.8,0.0,893,36091.55,0.0,-0.11162793134995752,-0.001086330775958522,0,1,22
23,23,0,0.0028319400479275784,952,36245.55,0.0,975,36162.85,0.0,-0.23420144196362003,-0.0022816594037062005,0,1,23
24,24,0,0.002828736849783664,989,36203.8,0.0,995,36186.3,0.0,-0.0495028948712104,-0.0004833746733767915,0,1,24
25,25,0,0.0028234739928235456,998,36253.75,0.0,1001,36322.9,0.0,0.19524322660375049,0.0019073888908044223,0,1,25
26,26,0,0.0028092355847900504,1005,36507.0,0.0,1032,36583.9,0.0,0.21603021647037224,0.0021064453392501763,0,1,26
27,27,0,0.002806669344187953,1034,36617.35,0.0,1054,36676.35,0.0,0.165593491307078,0.0016112580511696234,0,1,27
28,28,0,0.0028020052372162377,1056,36737.4,0.0,1074,36726.35,0.0,-0.03096215787124379,-0.00030078339784529,0,1,28
29,29,0,0.0027830380806221377,1080,36976.65,0.0,1084,36836.15,0.0,-0.39101685032740363,-0.003799695213060069,0,1,29
30,30,0,0.0027807318852381465,1142,36866.7,0.0,1150,36711.1,0.0,-0.43268188134304353,-0.0042206110121056585,0,1,30
31,31,0,0.0027898741298951132,1253,36590.8,0.0,1258,36602.2,0.0,0.031804565080790326,0.00031155372388674184,0,1,31
32,32,0,0.0027915024084253625,1259,36580.85,0.0,1272,36611.55,0.0,0.08569912393868151,0.0008392369231444376,0,1,32
33,33,0,0.0027893805575742395,1274,36639.4,0.0,1289,36717.75,0.0,0.21854796668594645,0.002138408380049938,0,1,33
34,34,0,0.002789536301033932,1291,36715.7,0.0,1293,36736.05,0.0,0.05676706372605622,0.0005542588048166215,0,1,34
35,35,0,0.0027886443550796942,1295,36747.8,0.0,1301,36778.9,0.0,0.08672683944297432,0.0008463091668072239,0,1,35
36,36,0,0.0027898732103746617,1302,36762.7,0.0,1316,37222.4,0.0,1.2825047148092352,0.012504522246733814,0,1,36
37,37,0,0.002791099205259623,1317,37206.05,0.0,1344,37320.85,0.0,0.3204181887637958,0.0030855196937056417,0,1,37
38,38,0,0.0027913871633468285,1345,37317.0,0.0,1350,37336.45,0.0,0.0542924803270779,0.0005212101723073554,0,1,38
39,39,0,0.0027915142663320546,1351,37334.75,0.0,1356,37328.65,0.0,-0.01702823702461842,-0.00016338665720267182,0,1,39
40,40,0,0.0027919368490720484,1358,37323.0,0.0,1369,37393.55,0.0,0.19697114470204724,0.0018902553385313373,0,1,40
41,41,0,0.0027921795268456818,1370,37390.3,0.0,1375,37302.8,0.0,-0.24431570859900376,-0.0023401791373699157,0,1,41
