,open,high,low,close,AVWAP,BLR,Bullish Breakout Zone,Bearish Breakout Zone,Volume,RSI,RSI EMA,DI+,DI-,id,col,size,entry_idx,entry_price,entry_fees,exit_idx,exit_price,exit_fees,pnl,return,direction,status,parent_id
18953,45325.05,45351.4,45298.05,45349.6,45249.27736,45306.725,45387.21399,45233.95281,4932086,41.39971137,52.39440777,15.97081471,25.08632671,,,,,,,,,,,,,,
18954,45344.6,45363.7,45303.3,45351.0,45250.00225,45300.57109,45387.21399,45233.95281,5322072,44.0147326,51.91753059,16.2506204,23.48864399,,,,,,,,,,,,,,
18955,45350.65,45356.45,45287.2,45300.35,45250.63508,45293.08524,45387.21399,45233.95281,6534391,40.43224592,51.339286,15.0658995,23.4711803,,,,,,,,,,,,,,
18956,45299.75,45315.45,45240.4,45305.0,45251.06293,45288.39215,45387.21399,45233.95281,7960660,34.24601124,50.55870594,13.8845121,26.5205106,,,,,,,,,,,,,,
18957,45278.5,45322.7,45273.95,45305.0,45227.18473,45143.49077,45137.00229,44984.16451,2605057,80.76625482,54.13635115,33.70403651,12.97513904,,,,,,,,,,,,,,
18958,45302.1,45302.8,45231.3,45252.95,45251.19889,45283.02763,45387.21399,45233.95281,8237922,31.36811651,49.70770205,12.82127538,25.43517031,,,,,,,,,,,,,,
18959,45253.3,45295.05,45253.3,45283.6,45251.46256,45280.36294,45387.21399,45233.95281,6974849,31.20707683,48.90029347,12.24445817,24.29086574,,,,,,,,,,,,,,
18960,45278.0,45301.45,45278.0,45301.45,45251.46303,45277.93765,45387.21399,45233.95281,7618,37.97242178,48.35995418,12.63987603,23.6525574,,,,,,,,,,,,,,
18961,45169.7,45169.7,45169.7,45169.7,45251.46303,45270.87474,45387.21399,45233.95281,0,22.06155629,47.17288443,10.90590548,31.68440162,,,,,,,,,,,,,,
18962,45208.75,45270.1,45091.8,45212.55,45249.60956,45264.65205,45246.24279,45093.22001,22030452,29.30788148,46.32469206,18.4710711,26.40514411,,,,,,,,,,,,,,
18963,45203.85,45354.35,45198.55,45326.65,45250.57065,45264.29918,45246.24279,45093.22001,16079320,45.65347175,46.17799047,23.296981,22.82615132,,,,,,,,,,,,,,
18964,45326.75,45358.15,45286.15,45324.15,45251.60542,45263.31974,45246.24279,45093.22001,10593179,54.08082959,46.40745035,22.15828573,21.38368851,,,,,,,,,,,,,,
18965,45325.55,45418.9,45319.05,45351.3,45253.31961,45266.20855,45246.24279,45093.22001,11550297,58.19865243,46.80946897,25.49427461,19.53957634,,,,,,,,,,,,,,
18966,45351.35,45364.4,45260.05,45263.15,45253.86575,45261.99154,45246.24279,45093.22001,9767231,50.68099588,46.90228598,23.23875485,22.81310698,,,,,,,,,,,,,,
18967,45263.65,45278.75,45194.9,45250.8,45253.74669,45257.20212,45246.24279,45093.22001,7387439,41.97888346,46.63994578,21.58613076,26.71626548,,,,,,,,,,,,,,
18968,45249.8,45249.8,45181.4,45184.7,45253.38005,45247.45105,45246.24279,45093.22001,5858694,38.36301885,46.24163124,20.29940606,26.28327767,,,,,,,,,,,,,,
18969,45183.25,45207.1,45166.15,45206.05,45253.02505,45239.34597,45246.24279,45093.22001,4586153,35.46672451,45.74440435,19.55856187,26.68317223,,,,,,,,,,,,,,
18970,45215.45,45235.35,45199.4,45206.05,45229.07692,45207.28494,45137.00229,44984.16451,1792714,31.12935327,57.4402283,14.65328039,21.23015575,,,,,,,,,,,,,,
18971,45210.65,45261.3,45173.0,45199.45,45252.74418,45232.82741,45246.24279,45093.22001,5271385,39.54137322,45.43259999,22.82610903,24.59847403,,,,,,,,,,,,,,
18972,45199.85,45244.0,45193.1,45200.5,45252.54046,45226.42406,45246.24279,45093.22001,3992168,39.3043094,45.12988901,21.77023848,23.46061893,,,,,,,,,,,,,,
18973,45200.65,45212.2,45185.3,45208.6,45252.16815,45222.60381,45246.24279,45093.22001,5851930,38.16718049,44.80195774,21.21179979,23.60261686,,,,,,,,,,,,,,
18974,45203.55,45254.8,45203.55,45244.7,45251.98988,45220.22822,45246.24279,45093.22001,8022668,44.08621214,44.70591377,24.30725442,22.4225062,,,,,,,,,,,,,,
18975,45244.45,45254.4,45212.65,45221.85,45251.81814,45215.77044,45246.24279,45093.22001,6207650,45.65414084,44.67221039,23.28584046,21.48029116,,,,,,,,,,,,,,
18976,45222.7,45231.25,45197.55,45205.05,45251.61655,45215.01464,45246.24279,45093.22001,4038938,41.86253747,44.51115313,22.465234,22.30234213,,,,,,,,,,,,,,
18977,45202.65,45220.75,45184.4,45197.3,45251.17978,45212.35795,45246.24279,45093.22001,7043235,39.39662088,44.27398446,21.58176919,22.84793835,,,,,,,,,,,,,,
18978,45189.85,45201.55,45179.1,45197.3,45235.49437,45112.42369,45246.24279,45093.22001,5094170,65.63829187,45.19836722,20.63582814,16.19381934,,,,,,,,,,,,,,
18979,45196.45,45204.6,45150.15,45154.05,45250.34017,45202.92345,45246.24279,45093.22001,8518546,34.90726653,43.88977362,20.29431759,25.23733178,,,,,,,,,,,,,,
18980,45157.65,45186.3,45140.4,45171.3,45249.82061,45194.9487,45246.24279,45093.22001,5130348,32.81741509,43.45066518,19.25172871,25.03206911,,,,,,,,,,,,,,
